id,address,capacity,latitude,longitude,parking_type
opendata_ruhver_parkseiten_line.185,Thierschstr.,8.0,48.13477358830629,11.58644299288534,Parkplatz
opendata_ruhver_parkseiten_line.186,Thierschstr.,14.0,48.135512576954824,11.586906155420559,Parkplatz
opendata_ruhver_parkseiten_line.187,Thierschstr.,6.0,48.13547926295417,11.587099486293326,Parkplatz
opendata_ruhver_parkseiten_line.188,Thierschstr.,19.0,48.13636711725127,11.587476984810328,Parkplatz
opendata_ruhver_parkseiten_line.189,Thierschstr.,3.0,48.137113535393595,11.587797161328396,Parkplatz
opendata_ruhver_parkseiten_line.190,Knöbelstr.,21.0,48.13720008927921,11.585680418663326,Parkplatz
opendata_ruhver_parkseiten_line.191,Adelgundenstr.,6.0,48.13731273619834,11.586528580353564,Parkplatz
opendata_ruhver_parkseiten_line.192,Knöbelstr.,16.0,48.13714251086439,11.585634496046143,Parkplatz
opendata_ruhver_parkseiten_line.193,Adelgundenstr.,6.0,48.13729320020763,11.586615267805152,Parkplatz
opendata_ruhver_parkseiten_line.194,Liebherrstr.,17.0,48.13473809081706,11.584794523650494,Parkplatz
opendata_ruhver_parkseiten_line.195,Liebherrstr.,19.0,48.135016367132394,11.58481341941817,Parkplatz
opendata_ruhver_parkseiten_line.196,Mannhardtstr.,10.0,48.135341394072995,11.585423271730713,Parkplatz
opendata_ruhver_parkseiten_line.197,Kanalstr.,12.0,48.13509830180555,11.584070063746712,Parkplatz
opendata_ruhver_parkseiten_line.198,Kanalstr.,12.0,48.13516491602356,11.584063603727442,Parkplatz
opendata_ruhver_parkseiten_line.199,Kanalstr.,10.0,48.13568630988681,11.584314740971545,Parkplatz
opendata_ruhver_parkseiten_line.200,Kanalstr.,14.0,48.135690907815246,11.584451217653692,Parkplatz
opendata_ruhver_parkseiten_line.201,Adelgundenstr.,7.0,48.13512837715071,11.58630119680942,Parkplatz
opendata_ruhver_parkseiten_line.202,Adelgundenstr.,6.0,48.13526260514336,11.586315782730134,Parkplatz
opendata_ruhver_parkseiten_line.203,Adelgundenstr.,9.0,48.13559605971669,11.586223344140942,Parkplatz
opendata_ruhver_parkseiten_line.204,Thierschstr.,21.0,48.136340766591935,11.587610931868241,Parkplatz
opendata_ruhver_parkseiten_line.205,Adelgundenstr.,9.0,48.13560892319463,11.586131931773615,Parkplatz
opendata_ruhver_parkseiten_line.206,Adelgundenstr.,23.0,48.13646242472125,11.586317582002245,Parkplatz
opendata_ruhver_parkseiten_line.207,Isabellastr.,26.0,48.1587653604026,11.572103383249917,Parkplatz
opendata_ruhver_parkseiten_line.208,Isabellastr.,34.0,48.159940375229255,11.572856241813188,Parkplatz
opendata_ruhver_parkseiten_line.209,Isabellastr.,34.0,48.15989678181733,11.573027709438117,Parkplatz
opendata_ruhver_parkseiten_line.210,Gentzstr.,20.0,48.158415852837194,11.573364028060551,Parkplatz
opendata_ruhver_parkseiten_line.211,Gentzstr.,20.0,48.15843667315375,11.573475944320432,Parkplatz
opendata_ruhver_parkseiten_line.212,Arcisstr.,10.0,48.156155900541016,11.573563329048852,Parkplatz
opendata_ruhver_parkseiten_line.213,Georgenstr.,7.0,48.15652532187694,11.570231213355166,Parkplatz
opendata_ruhver_parkseiten_line.214,Georgenstr.,11.0,48.15662362344749,11.569112558431502,Parkplatz
opendata_ruhver_parkseiten_line.215,Georgenstr.,18.0,48.15671451980469,11.56920153958193,Parkplatz
opendata_ruhver_parkseiten_line.216,Georgenstr.,23.0,48.15662104093902,11.570223050418454,Parkplatz
opendata_ruhver_parkseiten_line.217,Georgenstr.,5.0,48.15671116958582,11.568099943108178,Parkplatz
opendata_ruhver_parkseiten_line.218,Georgenstr.,8.0,48.15680903471086,11.568126093712731,Parkplatz
opendata_ruhver_parkseiten_line.219,Adelheidstr.,13.0,48.1562595624609,11.567225569724233,Parkplatz
opendata_ruhver_parkseiten_line.220,Adelheidstr.,16.0,48.156207731653865,11.567304893899225,Parkplatz
opendata_ruhver_parkseiten_line.221,Tengstr.,7.0,48.15387149162835,11.567976425529773,Parkplatz
opendata_ruhver_parkseiten_line.222,Tengstr.,21.0,48.155530568539945,11.568483860877283,Parkplatz
opendata_ruhver_parkseiten_line.223,Tengstr.,23.0,48.15630874054236,11.568592766472417,Parkplatz
opendata_ruhver_parkseiten_line.224,Tengstr.,27.0,48.15717896755181,11.56862283501377,Parkplatz
opendata_ruhver_parkseiten_line.225,Tengstr.,38.0,48.15825684444908,11.568868321860428,Parkplatz
opendata_ruhver_parkseiten_line.226,Tengstr.,25.0,48.157151569618684,11.56885879072628,Parkplatz
opendata_ruhver_parkseiten_line.227,Tengstr.,35.0,48.158316717732,11.56911169424928,Parkplatz
opendata_ruhver_parkseiten_line.228,Tengstr.,22.0,48.16070156241237,11.568689877232218,Parkplatz
opendata_ruhver_parkseiten_line.229,Tengstr.,9.0,48.160506323828635,11.568953316885334,Parkplatz
