FID,angebot,parkregel_gruppe,parkregel_name,prm_name,strasse,geoportal_class,center_lon,center_lat
opendata_ruhver_parkseiten_line.2177,24.0,Bewohnerparken,Bew 9-23,Schyrenbad,Plattnerstr.,Bewohnerparken,11.57568355894192,48.11850171633062
opendata_ruhver_parkseiten_line.2178,0.0,Absolutes Halteverbot (0-24 Uhr),AHV 0-24,Schyrenbad,Humboldtstr.,Absolutes Halteverbot,11.576514920094258,48.118961452187925
opendata_ruhver_parkseiten_line.2179,15.0,Absolutes Halteverbot temporär,"AHV 6:30-8:30, AHV 16-19, EHV 8:30-16, sonst M",Schyrenbad,Pilgersheimer Str.,Absolutes Halteverbot (auch temporär),11.575090916533322,48.119042711274695
opendata_ruhver_parkseiten_line.2180,0.0,Absolutes Halteverbot (0-24 Uhr),AHV 0-24,Schyrenbad,Pilgersheimer Str.,Absolutes Halteverbot,11.574768563506641,48.118530424693006
opendata_ruhver_parkseiten_line.2181,0.0,Absolutes Halteverbot (0-24 Uhr),AHV 0-24,Schyrenbad,Plattnerstr.,Absolutes Halteverbot,11.575113134610277,48.11844155652602
opendata_ruhver_parkseiten_line.2182,12.0,Bewohnerparken,Bew 9-23,Schyrenbad,Plattnerstr.,Bewohnerparken,11.575655774678252,48.11861378707152
opendata_ruhver_parkseiten_line.2183,6.0,Absolutes Halteverbot temporär,"AHV 6:30-8:30, AHV 16-19, EHV 8:30-16, sonst M",Schyrenbad,Pilgersheimer Str.,Absolutes Halteverbot (auch temporär),11.574796346962362,48.118884620869615
opendata_ruhver_parkseiten_line.2184,4.0,Bewohnerparken,Bew 9-23,Schyrenbad,Obere Weidenstr.,Bewohnerparken,11.571834803985062,48.11753883635824
opendata_ruhver_parkseiten_line.2185,27.0,Mischparken,M 9-23,Schyrenbad,Schyrenstr.,Mischparken,11.571173594761294,48.120080417745356
opendata_ruhver_parkseiten_line.2186,26.0,Mischparken,M 9-23,Schyrenbad,Claude-Lorrain-Str.,Mischparken,11.570228098406785,48.120104682504994
opendata_ruhver_parkseiten_line.2187,11.0,Mischparken,M 9-23,Schyrenbad,Untere Weidenstr.,Mischparken,11.57041731999959,48.11955588249019
opendata_ruhver_parkseiten_line.2188,8.0,Mischparken,M 9-23,Schyrenbad,Untere Weidenstr.,Mischparken,11.57095148380208,48.11934696851056
opendata_ruhver_parkseiten_line.2189,0.0,Absolutes Halteverbot (0-24 Uhr),AHV 0-24,Messestadt,Stockholmstr.,Absolutes Halteverbot,11.689808111137244,48.12950955138545
opendata_ruhver_parkseiten_line.2190,1.0,Mischparken mit Parkscheibe,PS 2h 9-18 (Mo-So) Blaue Zone Messestadt Riem,Messestadt,Stockholmstr.,Mischparken mit Parkscheibe,11.689704908489174,48.12942570041606
opendata_ruhver_parkseiten_line.2191,20.0,Mischparken,M 9-23,Barbarastraße,Schwere-Reiter-Str.,Mischparken,11.55415854090252,48.16131586146927
opendata_ruhver_parkseiten_line.2192,13.0,Mischparken,M 9-23,Barbarastraße,Schwere-Reiter-Str.,Mischparken,11.555961846249211,48.16131540637912
opendata_ruhver_parkseiten_line.2193,44.0,Mischparken mit Parkscheibe,"PS 4h 9-23, Bew frei",Winzererstraße,Deidesheimer Str.,Mischparken mit Parkscheibe,11.559894402730162,48.1675403243939
opendata_ruhver_parkseiten_line.2194,20.0,Mischparken mit Parkscheibe,"PS 4h 9-23, Bew frei",Winzererstraße,Deidesheimer Str.,Mischparken mit Parkscheibe,11.560672934361238,48.1652460946902
opendata_ruhver_parkseiten_line.2195,0.0,Absolutes Halteverbot (0-24 Uhr),AHV 0-24,Altschwabing,Wagnerstr.,Absolutes Halteverbot,11.588278749400173,48.15990943256554
opendata_ruhver_parkseiten_line.2196,0.0,Absolutes Halteverbot (0-24 Uhr),AHV 0-24,Winzererstraße,Ackermannstr.,Absolutes Halteverbot,11.563213837336209,48.16806835986489
opendata_ruhver_parkseiten_line.2197,0.0,Absolutes Halteverbot (0-24 Uhr),AHV 0-24,Untersendling,Kapellenweg,Absolutes Halteverbot,11.549067511706523,48.1239354035894
opendata_ruhver_parkseiten_line.2198,0.0,Absolutes Halteverbot (0-24 Uhr),AHV 0-24,Untersendling,Kapellenweg,Absolutes Halteverbot,11.549077044211023,48.12388879722501
opendata_ruhver_parkseiten_line.2199,20.0,Mischparken,M 9-23,Winzererstraße,Winzererstr.,Mischparken,11.562569218247942,48.16336609313792
opendata_ruhver_parkseiten_line.2200,14.0,Mischparken,M 9-23,Winzererstraße,Winzererstr.,Mischparken,11.562235994732571,48.16231784379099
opendata_ruhver_parkseiten_line.2201,8.0,Mischparken,M 9-23,Barbarastraße,Elisabethstr.,Mischparken,11.559808277219794,48.160663518981934
opendata_ruhver_parkseiten_line.2202,9.0,Mischparken,M 9-23,Barbarastraße,Elisabethstr.,Mischparken,11.560576991690011,48.160404696781214
opendata_ruhver_parkseiten_line.2203,3.0,Mischparken,M 9-23,Schwanthalerhöhe,Ganghoferstr.,Mischparken,11.540415120965807,48.13693631150552
opendata_ruhver_parkseiten_line.2204,6.0,Mischparken,M 9-23,Theresienhöhe,Westendstr.,Mischparken,11.541836467932555,48.138232579614275
opendata_ruhver_parkseiten_line.2205,25.0,Bewohnerparken,Bew 9-23,Margaretenplatz,Margaretenstr.,Bewohnerparken,11.537787867736679,48.12008068257872
opendata_ruhver_parkseiten_line.2206,0.0,Absolutes Halteverbot (0-24 Uhr),AHV 0-24,Margaretenplatz,Meindlstr.,Absolutes Halteverbot,11.538349383765507,48.119929487866436
opendata_ruhver_parkseiten_line.2207,1.0,Behindertenparken,Beh 0-24,Margaretenplatz,Meindlstr.,Behindertenparken,11.538129126309242,48.11884202036527
opendata_ruhver_parkseiten_line.2208,0.0,Absolutes Halteverbot (0-24 Uhr),AHV 0-24,Margaretenplatz,Meindlstr.,Absolutes Halteverbot,11.538141826036329,48.11836182986113
opendata_ruhver_parkseiten_line.2209,9.0,Kurzzeitparken,"KZP 2h 9-23, Bew frei 18-23",Margaretenplatz,Plinganserstr.,Kurzzeitparken,11.540464612555215,48.1193074620563
opendata_ruhver_parkseiten_line.2210,0.0,Absolutes Halteverbot (0-24 Uhr),AHV 0-24,Margaretenplatz,Am Harras,Absolutes Halteverbot,11.53973199378379,48.11687876057151
opendata_ruhver_parkseiten_line.2211,30.0,Bewohnerparken,Bew 9-23,Margaretenplatz,Margaretenstr.,Bewohnerparken,11.538010939177752,48.12020124356478
opendata_ruhver_parkseiten_line.2212,13.0,Mischparken,M 9-23,Margaretenplatz,Meindlstr.,Mischparken,11.538341993216292,48.1186807102828
opendata_ruhver_parkseiten_line.2213,0.0,Absolutes Halteverbot (0-24 Uhr),AHV 0-24,Margaretenplatz,Meindlstr.,Absolutes Halteverbot,11.538411098930853,48.11900577895858
opendata_ruhver_parkseiten_line.2214,18.0,Mischparken,M 9-23,Margaretenplatz,Meindlstr.,Mischparken,11.538076207807407,48.11800013829926
opendata_ruhver_parkseiten_line.2215,16.0,Mischparken,M 9-23,Margaretenplatz,Meindlstr.,Mischparken,11.538229381410545,48.11964363053169
opendata_ruhver_parkseiten_line.2216,20.0,Mischparken,M 9-23,Margaretenplatz,Meindlstr.,Mischparken,11.538427877424228,48.119420350041054
opendata_ruhver_parkseiten_line.2217,5.0,Mischparken,M 9-23,Margaretenplatz,Margaretenpl.,Mischparken,11.538749687313494,48.120475703986315
opendata_ruhver_parkseiten_line.2218,0.0,Absolutes Halteverbot (0-24 Uhr),AHV 0-24,Margaretenplatz,Maria-Reisinger-Weg,Absolutes Halteverbot,11.538754124422276,48.12108954325869
opendata_ruhver_parkseiten_line.2219,0.0,Absolutes Halteverbot (0-24 Uhr),AHV 0-24,Margaretenplatz,Alois-Gilg-Weg,Absolutes Halteverbot,11.537416935867459,48.12082603527077
opendata_ruhver_parkseiten_line.2220,2.0,Absolutes Halteverbot temporär,"AHV 6-13 (Sa), sonst M",Margaretenplatz,Margaretenpl.,Absolutes Halteverbot (auch temporär),11.538666040919288,48.120285004838784
opendata_ruhver_parkseiten_line.2221,10.0,Mischparken mit Parkscheibe,"PS 4h 9-23, Bew frei",Brudermühlviertel,Lenggrieser Str.,Mischparken mit Parkscheibe,11.55145572549984,48.11339926127219
opendata_ruhver_parkseiten_line.2222,0.0,Absolutes Halteverbot (0-24 Uhr),AHV 0-24,Brudermühlviertel,Lenggrieser Str.,Absolutes Halteverbot,11.551676113959383,48.11375640851122
opendata_ruhver_parkseiten_line.2223,12.0,Mischparken mit Parkscheibe,"PS 4h 9-23, Bew frei",Brudermühlviertel,Würzstr.,Mischparken mit Parkscheibe,11.55112061245146,48.113933600930345
